GameID,HomeTeam,HomeTeamID,AwayTeam,AwayTeamID,Date
22100230,CHA,1610612766,IND,1610612754,20211119
22100231,DET,1610612765,GSW,1610612744,20211119
22100232,BOS,1610612738,LAL,1610612747,20211119
22100233,BKN,1610612751,ORL,1610612753,20211119
22100234,MIL,1610612749,OKC,1610612760,20211119
22100235,NOP,1610612740,LAC,1610612746,20211119
22100236,DEN,1610612743,CHI,1610612741,20211119
22100237,PHX,1610612756,DAL,1610612742,20211119
22100238,SAC,1610612758,TOR,1610612761,20211119
22100239,NYK,1610612752,HOU,1610612745,20211120
22100240,IND,1610612754,NOP,1610612740,20211120
22100241,WAS,1610612764,MIA,1610612748,20211120
22100242,ATL,1610612737,CHA,1610612766,20211120
22100243,BOS,1610612738,OKC,1610612760,20211120
22100244,MIL,1610612749,ORL,1610612753,20211120
22100245,MIN,1610612750,MEM,1610612763,20211120
22100246,POR,1610612757,PHI,1610612755,20211120
22100247,SAC,1610612758,UTA,1610612762,20211120
22100248,LAC,1610612746,DAL,1610612742,20211121
22100249,DET,1610612765,LAL,1610612747,20211121
22100250,CHI,1610612741,NYK,1610612752,20211121
22100251,PHX,1610612756,DEN,1610612743,20211121
22100252,GSW,1610612744,TOR,1610612761,20211121
22100253,CLE,1610612739,BKN,1610612751,20211122
22100254,WAS,1610612764,CHA,1610612766,20211122
22100255,ATL,1610612737,OKC,1610612760,20211122
22100256,BOS,1610612738,HOU,1610612745,20211122
22100257,CHI,1610612741,IND,1610612754,20211122
22100258,MIL,1610612749,ORL,1610612753,20211122
22100259,NOP,1610612740,MIN,1610612750,20211122
22100260,SAS,1610612759,PHX,1610612756,20211122
22100261,UTA,1610612762,MEM,1610612763,20211122
22100262,SAC,1610612758,PHI,1610612755,20211122
22100263,DET,1610612765,MIA,1610612748,20211123
22100264,NYK,1610612752,LAL,1610612747,20211123
22100265,POR,1610612757,DEN,1610612743,20211123
22100266,LAC,1610612746,DAL,1610612742,20211123
22100267,CLE,1610612739,PHX,1610612756,20211124
22100268,IND,1610612754,LAL,1610612747,20211124
22100269,ORL,1610612753,CHA,1610612766,20211124
22100270,BOS,1610612738,BKN,1610612751,20211124
22100271,HOU,1610612745,CHI,1610612741,20211124
22100272,MEM,1610612763,TOR,1610612761,20211124
22100273,MIL,1610612749,DET,1610612765,20211124
22100274,MIN,1610612750,MIA,1610612748,20211124
22100275,NOP,1610612740,WAS,1610612764,20211124
22100276,OKC,1610612760,UTA,1610612762,20211124
22100277,SAS,1610612759,ATL,1610612737,20211124
22100278,GSW,1610612744,PHI,1610612755,20211124
22100279,SAC,1610612758,POR,1610612757,20211124
22100280,LAC,1610612746,DET,1610612765,20211126
22100281,CHA,1610612766,MIN,1610612750,20211126
22100282,NYK,1610612752,PHX,1610612756,20211126
22100283,ORL,1610612753,CHI,1610612741,20211126
22100284,IND,1610612754,TOR,1610612761,20211126
22100285,MEM,1610612763,ATL,1610612737,20211126
22100286,OKC,1610612760,WAS,1610612764,20211126
22100287,SAS,1610612759,BOS,1610612738,20211126
22100288,DEN,1610612743,MIL,1610612749,20211126
22100289,UTA,1610612762,NOP,1610612740,20211126
22100290,GSW,1610612744,POR,1610612757,20211126
22100291,LAL,1610612747,SAC,1610612758,20211126
22100292,PHI,1610612755,MIN,1610612750,20211127
22100293,ATL,1610612737,NYK,1610612752,20211127
22100294,BKN,1610612751,PHX,1610612756,20211127
22100295,CLE,1610612739,ORL,1610612753,20211127
22100296,CHI,1610612741,MIA,1610612748,20211127
22100297,HOU,1610612745,CHA,1610612766,20211127
22100298,DAL,1610612742,WAS,1610612764,20211127
22100299,UTA,1610612762,NOP,1610612740,20211127
22100300,LAC,1610612746,GSW,1610612744,20211128
22100301,IND,1610612754,MIL,1610612749,20211128
22100302,TOR,1610612761,BOS,1610612738,20211128
22100303,MEM,1610612763,SAC,1610612758,20211128
22100304,LAL,1610612747,DET,1610612765,20211128
22100305,PHI,1610612755,ORL,1610612753,20211129
22100306,MIA,1610612748,DEN,1610612743,20211129
22100307,CHI,1610612741,CHA,1610612766,20211129
22100308,HOU,1610612745,OKC,1610612760,20211129
22100309,MIN,1610612750,IND,1610612754,20211129
22100310,DAL,1610612742,CLE,1610612739,20211129
22100311,SAS,1610612759,WAS,1610612764,20211129
22100312,UTA,1610612762,POR,1610612757,20211129
22100313,LAC,1610612746,NOP,1610612740,20211129
22100314,BKN,1610612751,NYK,1610612752,20211130
22100315,TOR,1610612761,MEM,1610612763,20211130
22100316,PHX,1610612756,GSW,1610612744,20211130
22100317,POR,1610612757,DET,1610612765,20211130
22100318,SAC,1610612758,LAL,1610612747,20211130
22100319,IND,1610612754,ATL,1610612737,20211201
22100320,ORL,1610612753,DEN,1610612743,20211201
22100321,WAS,1610612764,MIN,1610612750,20211201
22100322,BOS,1610612738,PHI,1610612755,20211201
22100323,MIA,1610612748,CLE,1610612739,20211201
22100324,MIL,1610612749,CHA,1610612766,20211201
22100325,NOP,1610612740,DAL,1610612742,20211201
22100326,OKC,1610612760,HOU,1610612745,20211201
22100327,LAC,1610612746,SAC,1610612758,20211201
22100328,NYK,1610612752,CHI,1610612741,20211202
22100329,TOR,1610612761,MIL,1610612749,20211202
22100330,MEM,1610612763,OKC,1610612760,20211202
22100331,PHX,1610612756,DET,1610612765,20211202
22100332,POR,1610612757,SAS,1610612759,20211202
22100333,IND,1610612754,MIA,1610612748,20211203
22100334,WAS,1610612764,CLE,1610612739,20211203
22100335,ATL,1610612737,PHI,1610612755,20211203
22100336,BKN,1610612751,MIN,1610612750,20211203
22100337,HOU,1610612745,ORL,1610612753,20211203
22100338,DAL,1610612742,NOP,1610612740,20211203
22100339,UTA,1610612762,BOS,1610612738,20211203
22100340,GSW,1610612744,PHX,1610612756,20211203
